Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z017 Build/TMAYU1QN) [FBAN/FB4A; FBAV/104.0.0.68.1 FBBV/7232729 FBDM={density=3.0,width=783,height=667} FBLC/zh_TW FBRV/1371495 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z017 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 10.0; V2072 Build/MEJ49E7H) [FBAN/FB4A; FBAV/85.0.0.86.89 FBBV/319835 FBDM={density=3.0,width=876,height=1425} FBLC/ko_KR FBRV/9942279 FBCR/T-Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Mate 20 Pro Build/T3UPQI19) [FBAN/FB4A; FBAV/110.0.0.63.91 FBBV/429258 FBDM={density=3.0,width=1035,height=778} FBLC/es_ES FBRV/3412194 FBCR/Boost Mobile FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Mate 20 Pro FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; CPH2127 Build/NC5QRPHU) [FBAN/FB4A; FBAV/100.0.0.30.37 FBBV/6977148 FBDM={density=3.0,width=514,height=932} FBLC/zh_TW FBRV/1248189 FBCR/Verizon FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2127 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 6.0; LM-K500 Build/RV2H4XCP) [FBAN/FB4A; FBAV/106.0.0.97.33 FBBV/4462882 FBDM={density=3.0,width=596,height=1787} FBLC/it_IT FBRV/6676020 FBCR/Vodafone FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-K500 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 9.0; Moto G Fast Build/NNF7YQ6V) [FBAN/FB4A; FBAV/108.0.0.67.22 FBBV/8079658 FBDM={density=3.0,width=494,height=1448} FBLC/pt_BR FBRV/1064401 FBCR/O2 FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Fast FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Moto G Fast Build/DX8QQVMD) [FBAN/FB4A; FBAV/116.0.0.61.72 FBBV/1218100 FBDM={density=3.0,width=658,height=750} FBLC/es_ES FBRV/4379574 FBCR/Telecom FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Fast FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Xperia 10 Build/NHHNSV95) [FBAN/FB4A; FBAV/106.0.0.9.39 FBBV/9091711 FBDM={density=3.0,width=959,height=1335} FBLC/ja_JP FBRV/8253360 FBCR/Telecom FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; Xperia 10 IV Build/4N4V57HN) [FBAN/FB4A; FBAV/106.0.0.7.99 FBBV/2273572 FBDM={density=3.0,width=805,height=1397} FBLC/en_US FBRV/4315296 FBCR/Sprint FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 IV FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 10.0; Nova 5T Build/DGHLR2ZH) [FBAN/FB4A; FBAV/83.0.0.18.61 FBBV/2630215 FBDM={density=3.0,width=782,height=1809} FBLC/ko_KR FBRV/9252061 FBCR/Orange FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; ASUS_Z007 Build/AJFEUVVJ) [FBAN/FB4A; FBAV/89.0.0.14.62 FBBV/9845060 FBDM={density=3.0,width=647,height=1596} FBLC/pt_BR FBRV/8412136 FBCR/O2 FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z007 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 6.0; CPH2147 Build/12OFQ2EK) [FBAN/FB4A; FBAV/87.0.0.94.85 FBBV/3911481 FBDM={density=3.0,width=563,height=946} FBLC/pt_BR FBRV/413901 FBCR/Boost Mobile FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2147 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; Xperia 5 II Build/V5E0KOV4) [FBAN/FB4A; FBAV/103.0.0.50.75 FBBV/4448262 FBDM={density=3.0,width=776,height=1002} FBLC/es_ES FBRV/1323827 FBCR/Boost Mobile FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 12.0; ASUS_Z012 Build/HWZXNND9) [FBAN/FB4A; FBAV/119.0.0.46.76 FBBV/8331548 FBDM={density=3.0,width=561,height=1804} FBLC/de_DE FBRV/2144507 FBCR/Verizon FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z012 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; Xperia 10 Build/11MS4Q2B) [FBAN/FB4A; FBAV/110.0.0.1.88 FBBV/7442055 FBDM={density=3.0,width=439,height=1601} FBLC/zh_CN FBRV/8415715 FBCR/AT&T FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; SM-G973F Build/795B1SPR) [FBAN/FB4A; FBAV/119.0.0.66.61 FBBV/3684534 FBDM={density=3.0,width=848,height=1917} FBLC/ja_JP FBRV/5561581 FBCR/Vodafone FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 7.0; ASUS_Z017 Build/SOZT0JGG) [FBAN/FB4A; FBAV/85.0.0.10.100 FBBV/2951006 FBDM={density=3.0,width=618,height=1591} FBLC/pt_BR FBRV/4069895 FBCR/Vodafone FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z017 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; V2027 Build/QHZY6NJA) [FBAN/FB4A; FBAV/106.0.0.44.67 FBBV/1584820 FBDM={density=3.0,width=698,height=1474} FBLC/fr_FR FBRV/376076 FBCR/T-Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2027 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; LM-Q710 Build/7870IBN7) [FBAN/FB4A; FBAV/101.0.0.50.83 FBBV/1461236 FBDM={density=3.0,width=1035,height=642} FBLC/ja_JP FBRV/6733148 FBCR/Boost Mobile FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-Q710 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 11.0; Moto G Stylus Build/C44XYJKI) [FBAN/FB4A; FBAV/120.0.0.53.26 FBBV/4387746 FBDM={density=3.0,width=771,height=1653} FBLC/zh_CN FBRV/8333331 FBCR/Vodafone FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Stylus FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; Xperia 5 II Build/5B9O3BI5) [FBAN/FB4A; FBAV/88.0.0.48.21 FBBV/7282731 FBDM={density=3.0,width=773,height=1510} FBLC/en_US FBRV/2571660 FBCR/Sprint FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; ASUS_Z007 Build/TAGIR46P) [FBAN/FB4A; FBAV/94.0.0.7.68 FBBV/610943 FBDM={density=3.0,width=782,height=800} FBLC/zh_CN FBRV/3127357 FBCR/Sprint FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z007 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Nova 5T Build/PQWGTCUW) [FBAN/FB4A; FBAV/99.0.0.10.81 FBBV/9019563 FBDM={density=3.0,width=899,height=1260} FBLC/en_US FBRV/4192068 FBCR/O2 FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Moto G Play Build/T1GCJZAP) [FBAN/FB4A; FBAV/110.0.0.63.99 FBBV/7274611 FBDM={density=3.0,width=522,height=1860} FBLC/ja_JP FBRV/6069099 FBCR/O2 FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; Moto G Stylus Build/2JW2SVXX) [FBAN/FB4A; FBAV/118.0.0.55.90 FBBV/6702652 FBDM={density=3.0,width=632,height=1107} FBLC/en_US FBRV/3137526 FBCR/Orange FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Stylus FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; V2010 Build/VG7YRFFU) [FBAN/FB4A; FBAV/83.0.0.16.94 FBBV/6251964 FBDM={density=3.0,width=1078,height=1079} FBLC/zh_TW FBRV/2001683 FBCR/Boost Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2010 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; CPH2147 Build/W6729KH5) [FBAN/FB4A; FBAV/96.0.0.56.48 FBBV/6269940 FBDM={density=3.0,width=402,height=1730} FBLC/ko_KR FBRV/2841753 FBCR/Sprint FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2147 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; Moto G Power Build/72Y67PCH) [FBAN/FB4A; FBAV/97.0.0.38.51 FBBV/6904708 FBDM={density=3.0,width=1032,height=695} FBLC/es_ES FBRV/3391916 FBCR/O2 FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Power FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 9.0; Mi 10T Pro Build/Q1V06TEU) [FBAN/FB4A; FBAV/120.0.0.29.35 FBBV/7850930 FBDM={density=3.0,width=441,height=1511} FBLC/fr_FR FBRV/7471594 FBCR/AT&T FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; Xperia 5 II Build/7UX5JIR2) [FBAN/FB4A; FBAV/113.0.0.81.77 FBBV/9692452 FBDM={density=3.0,width=411,height=752} FBLC/it_IT FBRV/8856449 FBCR/Sprint FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; V2010 Build/57GTL4GY) [FBAN/FB4A; FBAV/115.0.0.57.26 FBBV/1641000 FBDM={density=3.0,width=963,height=1305} FBLC/pt_BR FBRV/3510090 FBCR/T-Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2010 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; Pixel 6 Build/R2VYP098) [FBAN/FB4A; FBAV/85.0.0.72.15 FBBV/142639 FBDM={density=3.0,width=935,height=1520} FBLC/ko_KR FBRV/136243 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; ASUS_Z010 Build/2KYH7NEQ) [FBAN/FB4A; FBAV/86.0.0.55.13 FBBV/2598281 FBDM={density=3.0,width=445,height=1344} FBLC/ko_KR FBRV/5681319 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z010 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z012 Build/8M8R1ICC) [FBAN/FB4A; FBAV/110.0.0.16.32 FBBV/7540391 FBDM={density=3.0,width=610,height=1459} FBLC/fr_FR FBRV/1199237 FBCR/AT&T FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z012 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; CPH2171 Build/364KNFH7) [FBAN/FB4A; FBAV/101.0.0.13.78 FBBV/9237751 FBDM={density=3.0,width=986,height=1762} FBLC/pt_BR FBRV/694087 FBCR/Vodafone FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2171 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 8.0; V2072 Build/AZ0BC8KC) [FBAN/FB4A; FBAV/102.0.0.100.30 FBBV/929120 FBDM={density=3.0,width=641,height=1169} FBLC/zh_TW FBRV/7540120 FBCR/T-Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 10.0; CPH2147 Build/JP3ULN4V) [FBAN/FB4A; FBAV/90.0.0.40.5 FBBV/5290147 FBDM={density=3.0,width=784,height=1379} FBLC/pt_BR FBRV/3538203 FBCR/Telecom FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2147 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; Xperia 10 Build/7N8A2RE3) [FBAN/FB4A; FBAV/85.0.0.90.49 FBBV/3490596 FBDM={density=3.0,width=840,height=1653} FBLC/zh_TW FBRV/2401569 FBCR/Boost Mobile FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; Pixel 5a Build/P12I7W1D) [FBAN/FB4A; FBAV/88.0.0.29.21 FBBV/5483260 FBDM={density=3.0,width=642,height=1868} FBLC/ja_JP FBRV/5067297 FBCR/Boost Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 7.0; LM-K500 Build/VVY03WCS) [FBAN/FB4A; FBAV/86.0.0.95.11 FBBV/8831172 FBDM={density=3.0,width=479,height=1421} FBLC/ja_JP FBRV/4996688 FBCR/Boost Mobile FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-K500 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Moto G Fast Build/STHWKVT3) [FBAN/FB4A; FBAV/93.0.0.61.90 FBBV/7173367 FBDM={density=3.0,width=564,height=1450} FBLC/pt_BR FBRV/2156647 FBCR/Boost Mobile FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Fast FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; SM-A528B Build/TFOPEXGG) [FBAN/FB4A; FBAV/99.0.0.80.80 FBBV/562829 FBDM={density=3.0,width=1000,height=732} FBLC/ja_JP FBRV/5945948 FBCR/Boost Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A528B FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 9.0; Xperia 1 II Build/YH1XM10S) [FBAN/FB4A; FBAV/84.0.0.90.70 FBBV/5616139 FBDM={density=3.0,width=727,height=1876} FBLC/es_ES FBRV/5412451 FBCR/Orange FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 1 II FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Xperia 5 II Build/BE92ODQY) [FBAN/FB4A; FBAV/105.0.0.11.13 FBBV/3680584 FBDM={density=3.0,width=410,height=1827} FBLC/zh_CN FBRV/198709 FBCR/Vodafone FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 6.0; Xperia 1 II Build/AB2XXAGB) [FBAN/FB4A; FBAV/101.0.0.46.27 FBBV/7173860 FBDM={density=3.0,width=840,height=706} FBLC/ja_JP FBRV/1820545 FBCR/AT&T FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 1 II FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; Pixel 6 Build/ES6ZM7PX) [FBAN/FB4A; FBAV/99.0.0.1.67 FBBV/4060794 FBDM={density=3.0,width=1017,height=730} FBLC/es_ES FBRV/4461146 FBCR/Orange FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N975F Build/UTINHYMG) [FBAN/FB4A; FBAV/86.0.0.3.95 FBBV/2019511 FBDM={density=3.0,width=564,height=1532} FBLC/ko_KR FBRV/5216024 FBCR/O2 FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-N975F FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; Pixel 4a Build/LXUCR6HJ) [FBAN/FB4A; FBAV/99.0.0.85.100 FBBV/1712087 FBDM={density=3.0,width=1078,height=1307} FBLC/es_ES FBRV/4646700 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; Nova 5T Build/9DW11CAH) [FBAN/FB4A; FBAV/93.0.0.99.61 FBBV/2865943 FBDM={density=3.0,width=879,height=771} FBLC/zh_CN FBRV/4248364 FBCR/Orange FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; CPH2127 Build/7CB03WN6) [FBAN/FB4A; FBAV/109.0.0.62.43 FBBV/8579245 FBDM={density=3.0,width=896,height=1079} FBLC/en_US FBRV/3907203 FBCR/Boost Mobile FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2127 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Pixel 6 Pro Build/B0AA4XHD) [FBAN/FB4A; FBAV/118.0.0.33.19 FBBV/5828590 FBDM={density=3.0,width=573,height=1321} FBLC/de_DE FBRV/9709924 FBCR/T-Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 Pro FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; CPH2171 Build/SJ0ZXCY3) [FBAN/FB4A; FBAV/92.0.0.70.68 FBBV/3862791 FBDM={density=3.0,width=800,height=1909} FBLC/ja_JP FBRV/4760988 FBCR/Vodafone FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2171 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 9.0; V2072 Build/2AV5JB1H) [FBAN/FB4A; FBAV/112.0.0.43.2 FBBV/1035192 FBDM={density=3.0,width=493,height=1347} FBLC/en_US FBRV/3234825 FBCR/Orange FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; CPH2171 Build/4TNFST48) [FBAN/FB4A; FBAV/92.0.0.44.28 FBBV/6129805 FBDM={density=3.0,width=796,height=936} FBLC/zh_TW FBRV/4227442 FBCR/AT&T FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2171 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; Moto G Fast Build/MISSKTV9) [FBAN/FB4A; FBAV/91.0.0.24.7 FBBV/2938292 FBDM={density=3.0,width=891,height=1674} FBLC/pt_BR FBRV/9032598 FBCR/Telecom FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Fast FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; P30 Pro Build/18AAESUX) [FBAN/FB4A; FBAV/89.0.0.63.12 FBBV/1997890 FBDM={density=3.0,width=989,height=1578} FBLC/it_IT FBRV/402241 FBCR/Orange FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P30 Pro FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; V2007 Build/I5ODCBLY) [FBAN/FB4A; FBAV/107.0.0.51.83 FBBV/156462 FBDM={density=3.0,width=467,height=1680} FBLC/en_US FBRV/3597651 FBCR/Sprint FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2007 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; Pixel 4a Build/8NCRMGRD) [FBAN/FB4A; FBAV/111.0.0.2.51 FBBV/8112081 FBDM={density=3.0,width=875,height=1859} FBLC/en_US FBRV/216363 FBCR/O2 FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 9.0; Nova 5T Build/XR77AGQO) [FBAN/FB4A; FBAV/89.0.0.30.16 FBBV/5544546 FBDM={density=3.0,width=463,height=1759} FBLC/ja_JP FBRV/8561753 FBCR/Vodafone FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; V2007 Build/BXNRW24L) [FBAN/FB4A; FBAV/93.0.0.25.92 FBBV/8470707 FBDM={density=3.0,width=846,height=1534} FBLC/ko_KR FBRV/3964633 FBCR/Orange FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2007 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 8.0; SM-A127F Build/LJ9683C8) [FBAN/FB4A; FBAV/90.0.0.20.45 FBBV/2602887 FBDM={density=3.0,width=608,height=1369} FBLC/ko_KR FBRV/1792666 FBCR/O2 FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; P40 Pro Build/SDU9VLGV) [FBAN/FB4A; FBAV/116.0.0.100.43 FBBV/3546292 FBDM={density=3.0,width=1011,height=1762} FBLC/it_IT FBRV/7627513 FBCR/Orange FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P40 Pro FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 12.0; LM-X410 Build/56O2L198) [FBAN/FB4A; FBAV/120.0.0.45.48 FBBV/4414131 FBDM={density=3.0,width=901,height=1913} FBLC/zh_CN FBRV/6845135 FBCR/Telecom FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-X410 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Mate 20 Pro Build/JNMIT2PN) [FBAN/FB4A; FBAV/110.0.0.59.10 FBBV/7121839 FBDM={density=3.0,width=1019,height=1169} FBLC/ja_JP FBRV/6100954 FBCR/Vodafone FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Mate 20 Pro FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-A528B Build/JOON4BX4) [FBAN/FB4A; FBAV/114.0.0.11.87 FBBV/9616058 FBDM={density=3.0,width=738,height=1585} FBLC/ko_KR FBRV/4201474 FBCR/T-Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A528B FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; Pixel 5a Build/MFDEOMTG) [FBAN/FB4A; FBAV/95.0.0.31.16 FBBV/2875757 FBDM={density=3.0,width=1069,height=1826} FBLC/es_ES FBRV/4401319 FBCR/O2 FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 5a FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; Mi 9T Build/LW0TP6F0) [FBAN/FB4A; FBAV/84.0.0.84.35 FBBV/5528998 FBDM={density=3.0,width=678,height=659} FBLC/it_IT FBRV/9403545 FBCR/Telecom FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 9T FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Poco X3 NFC Build/2SK2KYIV) [FBAN/FB4A; FBAV/97.0.0.80.9 FBBV/6605448 FBDM={density=3.0,width=721,height=805} FBLC/zh_TW FBRV/1849903 FBCR/O2 FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Poco X3 NFC FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
